D1,D2,D3
0.368,0.358,0.240824387
0.13,0.119733333,0.117926696
0.26,0.211,0.154174649
0.667916667,0.657534921,0.703082339
0.565,0.48125,0.321777645
0.6388,0.599495238,0.790146028
0.788,0.887,0.796505575
0.266,0.186,0.172230254
0.742,0.872,0.593382678
0.395555556,0.328788889,0.588489008
0.823333333,0.73,0.850161806
0.294666667,0.28,0.449639791
0.782,0.826,0.739165353
0.936,0.964,0.89741448
0.402666667,0.439666667,0.337982669
0.69,0.695,0.615927217
0.399590476,0.366620579,0.31943888
0.11,0.02825,0.185473259
0.2586,0.246333333,0.236818965
0.698666667,0.7447,0.869954409
0.352,0.407,0.188131493
0.70194418,0.688782514,0.725713517
0.646,0.79,0.618252654
0.629428571,0.832266667,0.635550222
0.909333333,0.9215,0.798169186
0.699985714,0.740666667,0.767111695
0.485666667,0.443554622,0.638067276
0.624,0.686,0.82075152
0.743,0.798,0.763184912
0.941,0.959568182,0.865553738
0.91,0.780619048,0.852148529
0.571792308,0.754418148,0.447142929
0.322666667,0.106,0.298355657
0.162,0.166622222,0.171588157
0.63,0.700666667,0.540410141
0.652,0.609,0.827690008
0.844,0.659166667,0.842347238
0.526,0.474,0.447002936
0.951666667,0.974,0.850816475
0.601833333,0.575785714,0.326714141
0.48,0.431,0.433744111
0.974,0.992,0.892848841
0.8196,0.946,0.765671957
0.292,0.2864,0.236666865
0.258333333,0.174533333,0.145493768
0.25,0.153,0.170374127
0.883555556,0.959277939,0.846060836
0.252,0.208,0.178033076
0.292,0.287666667,0.323504887
0.504,0.489,0.544360785
0.21,0.08,0.228990184
0.175,0.196666667,0.219951011
0.936,0.991314286,0.863962138
0.26,0.232,0.222277081
0.517166667,0.523495887,0.709065983
0.124,0.076166667,0.20376003
0.884,0.806,0.863751905
0.712,0.889,0.596844882
0.086507937,0.060335684,0.118890792
0.138,0.10988951,0.179068533
0.754166667,0.820233333,0.862659731
0.605166667,0.588,0.744696207
0.263333333,0.222,0.365078964
0.274,0.322,0.159297304
0.426,0.642,0.315848837
0.307333333,0.307666667,0.250753333
0.7185,0.642,0.866061284
0.324,0.192,0.459147695
0.178409091,0.039203546,0.138117932
0.554,0.677,0.593509826
0.764,0.876,0.831127231
0.872307692,0.919239683,0.806402982
0.801,0.778666667,0.7939632
0.481333333,0.477,0.684810191
0.422,0.278,0.439065813
0.228,0.0728,0.25686897
0.284333333,0.294439394,0.199366544
0.064,0.012,0.110764174
0.821333333,0.803,0.826693685
0.455233333,0.374053102,0.497198588
0.5596,0.53,0.431997826
0.212,0.072,0.325766936
0.526745262,0.625079715,0.648092864
0.73945974,0.698753968,0.810071717
0.531333333,0.408315476,0.32120733
0.708,0.676,0.828213689
0.56,0.401833333,0.759296918
0.337333333,0.324,0.445687979
0.678,0.751,0.832040947
0.654571429,0.586,0.382309707
0.16765,0.11252381,0.158412756
0.251,0.060633333,0.606714533
0.694,0.758,0.824012987
0.584,0.536833333,0.362843459
0.176,0.172,0.124092805
0.403333333,0.217666667,0.334947358
0.934733333,0.962777778,0.839578016
0.988,0.998,0.886555313
0.78,0.836,0.798378437
0.849,0.908,0.831640028
0.495238095,0.408,0.274044471
0.606,0.620833333,0.722295914
0.1204,0.066333333,0.165805154
0.1348,0.048,0.176310645
0.468,0.703,0.387811497
0.17,0.15365,0.173564088
0.932,0.911,0.887133991
0.193,0.073,0.172452971
0.686,0.726333333,0.660587562
0.796,0.778,0.837751659
0.127653846,0.081233333,0.206858691
0.336142857,0.336,0.238253414
0.92,0.970666667,0.906216033
0.298,0.265,0.227080815
0.422,0.528,0.618702535
0.386598413,0.238977277,0.560853178
0.856,0.889683333,0.70891173
0.36,0.223466667,0.281959887
0.55,0.46,0.550297349
0.377333333,0.252,0.42496328
0.818666667,0.866,0.807640216
0.756,0.756833333,0.839526984
0.755,0.758,0.815182711
0.308,0.356,0.150864142
0.716,0.76,0.752978927
0.414666667,0.368916667,0.229880214
0.5056,0.345666667,0.534805783
0.67,0.683083333,0.816569286
0.490666667,0.551747619,0.56941608
0.759,0.686111111,0.865172524
0.784444444,0.851,0.708320471
0.755,0.759666667,0.780247189
0.776666667,0.758,0.773834771
0.671,0.544,0.716346768
0.604,0.267,0.574948728
0.548,0.656,0.493418033
0.215,0.067,0.151653664
0.758,0.868,0.854351721
0.9,0.932,0.875442758
0.235333333,0.144333333,0.278099127
0.545333333,0.4676,0.489763284
0.767333333,0.769,0.801382238
0.9795,0.983714286,0.881272158
0.146,0.27,0.201600615
0.454,0.388,0.658370425
0.70445,0.875975758,0.705021656
0.119333333,0.201,0.118634236
0.976,0.982,0.885535242
0.424,0.51,0.56018526
0.98,0.998,0.879858304
0.808,0.8488,0.706672395
0.428,0.496666667,0.232223933
0.624666667,0.638384615,0.743490086
0.97,0.99,0.866807927
0.336,0.461,0.345268561
0.872284848,0.974366667,0.508202211
0.697,0.824,0.621891542
0.884,0.897166667,0.835764763
0.879272727,0.908333333,0.868120625
0.098,0.03,0.154287282
0.074288889,0.106042857,0.122848832
0.766333333,0.836380952,0.758219586
0.392,0.4055,0.578654721
0.684,0.671,0.838294393
0.712,0.844,0.670616584
0.868,0.758,0.891460637
0.2835,0.13,0.454591379
0.81,0.78,0.850356331
0.306,0.234,0.224757357
0.714,0.674866667,0.777706622
0.74605,0.700683983,0.412331945
0.796,0.8,0.669345969
0.054,0.036,0.145561648
0.883190476,0.919928415,0.835648083
0.8445,0.685666667,0.817641191
0.38,0.453166667,0.297600178
0.616,0.714,0.521845452
0.709,0.792,0.601250302
0.648,0.698,0.774884922
0.428,0.46,0.500190625
0.877,0.886666667,0.769633437
0.182,0.075,0.223839524
0.622,0.778,0.782356783
0.356666667,0.422,0.218041697
0.978,0.97,0.907908986
0.716,0.713,0.757854988
0.1493,0.074134454,0.154119027
0.895547619,0.94028219,0.818594867
0.126,0.045,0.169724953
0.462,0.586,0.338697645
0.186,0.135666667,0.173210406
0.681714286,0.822,0.842338933
0.69,0.766,0.67288168
0.5165,0.563766667,0.554200031
0.032,0.014,0.121545479
0.118,0.128,0.15248732
0.7675,0.831,0.847760169
0.971674603,0.996107225,0.891955811
0.292625,0.263890476,0.436298884
0.608066667,0.762666667,0.496713326
0.54375,0.526333333,0.525339276
0.694,0.846956522,0.767705392
0.726,0.894,0.591288611
0.82,0.8485,0.778078508
0.3,0.329,0.233256021
0.798,0.879333333,0.825527066
0.294,0.292,0.211894155
0.668,0.847666667,0.800405393
0.834,0.773266667,0.835229732
0.243844444,0.13026815,0.165115943
0.579,0.549,0.783346535
0.9245,0.966547619,0.880570069
0.575,0.5525,0.703691514
0.125166667,0.094833333,0.174787654
0.876,0.8625,0.81475876
0.73,0.767,0.672901643
0.274666667,0.324666667,0.129427246
0.642,0.721,0.69353042
0.086938528,0.087868254,0.118856529
0.09,0.148,0.109340396
0.667885714,0.7845,0.793000699
0.166,0.087,0.179466864
0.387,0.33,0.300630632
0.831,0.893,0.794935615
0.169333333,0.049,0.134641632
0.859,0.893,0.805164346
0.5342,0.497333333,0.741675188
0.99,0.996,0.870306128
0.673333333,0.682,0.688180648
0.9676,0.960780952,0.897382635
0.622,0.842,0.329843128
0.212,0.218,0.194887632
0.459714286,0.531333333,0.673217058
0.305,0.345,0.261724455
0.126177778,0.052696721,0.104395995
0.732,0.789,0.739870911
0.832,0.938,0.680620767
0.4195,0.3625,0.246536403
0.965,0.972133333,0.890215263
0.93,0.924,0.89700896
0.5984,0.613066667,0.691736097
0.938,0.982,0.838284466
0.251933333,0.306,0.302658442
0.906833333,0.922444444,0.836473908
0.556095238,0.539080952,0.617773511
0.483295238,0.206325974,0.753725585
0.8595,0.955,0.70987052
0.1196,0.048852814,0.12169944
0.982,0.984,0.907908986
0.852,0.968,0.861151065
0.67,0.575,0.829225951
0.0185,0.004,0.108381005
0.912,0.988,0.868748635
0.499,0.465866667,0.313038537
0.41,0.254,0.227066896
0.714666667,0.78826,0.747623482
0.616166667,0.745666667,0.53549447
0.973333333,0.999666667,0.886638793
0.514,0.482,0.638153897
0.2889,0.326466667,0.284660447
0.796,0.841,0.776555273
0.595,0.642333333,0.598990115
0.658,0.695,0.547567547
0.916533333,0.956,0.876207047
0.902,0.945279942,0.815405933
0.8588,0.92,0.883298391
0.852666667,0.881,0.685383045
0.947,0.983333333,0.873096304
0.86,0.894,0.835444463
0.485,0.563,0.582837451
0.361333333,0.379,0.320567699
0.478,0.546,0.448375601
0.704,0.574,0.690881745
0.828,0.812,0.880539933
0.656230769,0.730333333,0.704453527
0.082,0.03,0.162065957
0.972,0.982666667,0.905016279
0.788,0.841,0.852725439
0.457333333,0.468,0.225065672
0.882666667,0.982,0.836652364
0.9212,0.975861905,0.861983246
0.493666667,0.665133333,0.436397682
0.148,0.071,0.148666799
0.99,1,0.898386973
0.158547619,0.130875,0.348269718
0.335838095,0.326315296,0.46007672
0.5355,0.333438095,0.855545277
0.22,0.262,0.216851146
0.2105,0.2115,0.212841873
0.165333333,0.10025,0.241133704
0.297166667,0.3235,0.576047195
0.099333333,0.029466667,0.162832568
0.967,0.999333333,0.884828358
0.32,0.053,0.735069345
0.869428571,0.97,0.813901693
0.641666667,0.605790476,0.722599756
0.387107792,0.585371356,0.400252621
0.773666667,0.739,0.809492633
0.451833333,0.467,0.661389763
0.72,0.765,0.767766978
0.708,0.829,0.764812147
0.508,0.483,0.693490356
0.681333333,0.753333333,0.763127016
0.328,0.338,0.257556831
0.209333333,0.162,0.272025159
0.092,0.012685714,0.224495731
0.933819048,0.972333333,0.842099723
0.474466667,0.757444444,0.684601901
0.593866667,0.432651515,0.713657487
0.692,0.702666667,0.512182437
0.576,0.606,0.732183478
0.584,0.6205,0.732161369
0.764385185,0.697298635,0.853001578
0.901166667,0.945,0.875974153
0.922,0.886,0.895771329
0.652,0.644,0.626344278
0.719,0.635,0.760733722
0.262,0.147,0.240748487
0.759,0.857,0.796905171
0.286,0.273,0.437841312
0.01825,0.008095238,0.120360438
0.75,0.81,0.644686526
0.501466667,0.677333333,0.592817955
0.0945,0.030222222,0.183097118
0.1365,0.081,0.214053398
0.141166667,0.176,0.275524904
0.964,0.949,0.895606967
0.512,0.596,0.599873615
0.46,0.532166667,0.448664086
0.586,0.518,0.859076748
0.992,0.99,0.906894312
0.902,0.845666667,0.899754404
0.302952381,0.20475,0.229893569
0.95,0.966,0.888518055
0.672,0.752333333,0.505739792
0.777666667,0.792333333,0.80636039
0.088666667,0.180044723,0.124193674
0.27,0.304833333,0.327193446
0.488,0.4455,0.759260971
0.144,0.066,0.138299724
0.118,0.218,0.120806828
0.298,0.36,0.165049966
0.945333333,0.959133333,0.899687128
0.775,0.776,0.825165683
0.844533333,0.908,0.846291818
0.238,0.221333333,0.244147589
0.716933333,0.87,0.551543032
0.868,0.908,0.826992129
0.514333333,0.578333333,0.416400883
0.548157576,0.5776,0.724095383
0.581333333,0.6156,0.626570751
0.524,0.431,0.232899501
0.36777193,0.205,0.390520539
0.936,0.9706,0.856089442
0.879166667,0.821333333,0.870956382
0.394977778,0.464194444,0.649425875
0.395,0.22,0.276401155
0.020666667,0.002333333,0.097444575
0.589933333,0.648447619,0.651021812
0.041,0.002,0.130954737
0.247,0.3393,0.304857707
0.524,0.514,0.730323686
0.736,0.7905,0.799966177
0.2,0.0985,0.231000105
0.6145,0.6145,0.671643043
0.364666667,0.393233333,0.21330794
0.234,0.19,0.181434412
0.882,0.976,0.852183387
0.936,0.994,0.884497737
0.502,0.65,0.379459152
0.922,0.955,0.85146806
0.374,0.441904762,0.236525033
0.568,0.5235,0.377626499
0.841466667,0.791514286,0.781409187
0.994,0.997005339,0.879524836
0.492,0.497333333,0.359747725
0.882,0.8425,0.901381985
0.228,0.097666667,0.205549016
0.692,0.835666667,0.508529095
0.734,0.809636364,0.609744001
0.3,0.310333333,0.160655779
0.612666667,0.607,0.582830657
0.7705,0.723,0.782622302
0.101333333,0.02025,0.165521191
0.422761905,0.5303,0.353256504
0.5168,0.526166667,0.7339662
0.398666667,0.324,0.680063349
0.5932,0.528,0.707354954
0.187818182,0.154333333,0.150964935
0.148,0.107333333,0.414650406
0.382,0.393,0.18279142
0.152666667,0.075685854,0.18622371
0.697666667,0.686,0.717466422
0.449,0.373,0.516593168
0.053966667,0.029600866,0.142191251
0.917,0.916482468,0.85058564
0.251,0.299,0.228101632
0.428,0.56,0.518165885
0.77616384,0.75620507,0.716109177
0.425619048,0.3964,0.293879807
0.8685,0.9141,0.84274086
0.062,0.016,0.11882796
0.9132,0.937,0.861202866
0.886,0.97,0.855534858
0.466,0.389,0.27036496
0.628,0.796666667,0.651548833
0.93,0.924,0.893647616
0.902,0.971,0.80062533
0.912,0.937,0.863680087
0.429333333,0.503,0.365294396
0.233333333,0.232915476,0.316047119
0.432666667,0.453142424,0.71078279
0.1045,0.067411111,0.123579243
0.484333333,0.499666667,0.326806483
0.842666667,0.887,0.874173113
0.239416667,0.258866667,0.152760067
0.336166667,0.402243601,0.18230053
0.176313919,0.074305952,0.122924313
0.567066667,0.327966667,0.59840694
0.8888,0.925,0.782882911
0.7596,0.647366667,0.82552241
0.417,0.232,0.329146502
0.52,0.5045,0.51537498
0.806,0.809,0.861444685
0.942,0.9138,0.898688165
0.657,0.486533333,0.819534617
0.281,0.279,0.255013187
0.885714286,0.851333333,0.864948571
0.918666667,0.926,0.864202151
0.774,0.673,0.831683086
0.508,0.695,0.609218826
0.192958333,0.176929149,0.117327147
0.115,0.058,0.131784606
0.102,0.044111111,0.105570674
0.296,0.304,0.18788319
0.768,0.9065,0.782225
0.844833333,0.849,0.852824248
0.741666667,0.781,0.606223696
0.344,0.452,0.218990017
0.871,0.948333333,0.782577745
0.9255,0.974,0.865312765
0.840333333,0.829333333,0.895021788
0.812,0.871,0.815284702
0.51,0.588333333,0.503030787
0.338,0.204666667,0.207826156
0.87,0.898,0.909010852
0.14,0.112,0.151228933
0.628,0.5855,0.766316718
0.9245,0.948595238,0.845712503
0.484,0.364333333,0.679428294
0.82,0.809,0.753196005
0.847895455,0.872147619,0.83890099
0.842,0.897333333,0.778278389
0.58,0.717333333,0.467591579
0.772,0.848,0.846701841
0.726,0.821,0.554346156
0.627666667,0.621666667,0.33429177
0.279169841,0.375506494,0.260612609
0.916,0.986,0.853881487
0.586166667,0.479,0.619432282
0.904,0.928,0.763542854
0.5104,0.466,0.473274393
0.888666667,0.792277778,0.798659391
0.5067,0.524428571,0.243670016
0.716,0.828,0.835802607
0.721,0.767666667,0.688211037
0.516,0.4716,0.556721431
0.277666667,0.278666667,0.171287825
0.774,0.93,0.772873179
0.096,0.100111111,0.14602016
0.49,0.464,0.403747103
0.68,0.796666667,0.466271475
0.501,0.545,0.358336969
0.458,0.492,0.509404243
0.862,0.851,0.872088573
0.454,0.366,0.29789704
0.142,0.148666667,0.136265787
0.812,0.814333333,0.850599288
0.596,0.422333333,0.530193547
0.242,0.451666667,0.145990022
0.4,0.364,0.378574001
0.298,0.244666667,0.181098237
0.508666667,0.611214286,0.766444634
0.924,0.876,0.886036649
0.98,0.998380952,0.889029806
0.245088095,0.143759524,0.268097034
0.77,0.785714286,0.738568157
0.592423377,0.741145704,0.738174997
0.744927273,0.771872006,0.763579283
0.728,0.758,0.859875981
0.713445238,0.707498413,0.748769253
0.156,0.062,0.159675639
0.563,0.5466,0.375338722
0.972,0.992,0.872174324
0.40287381,0.549959927,0.156003521
0.636,0.835,0.346114923
0.957,0.968,0.897646011
0.29,0.382916667,0.153256347
0.908,0.9648,0.868255434
0.544,0.555666667,0.644579036
0.368,0.468,0.365647782
0.605,0.542666667,0.766958391
0.233587302,0.219238235,0.2679628
0.139,0.044555556,0.157839871
0.682,0.738,0.792091072
0.4005,0.625733333,0.268894484
0.519,0.496333333,0.50493104
0.424,0.4175,0.258360641
0.791095238,0.714,0.800362986
0.92,0.861333333,0.842425657
0.908,0.928,0.859593218
0.845,0.856,0.86061692
0.91,0.894,0.864896928
0.446,0.419,0.388939581
0.338,0.465,0.236732024
0.758,0.7175,0.869235891
0.474,0.353333333,0.542200829
0.098,0.04,0.231464968
0.996,0.99,0.891979711
0.954,0.996,0.888527592
0.172,0.0805,0.222333825
0.388,0.391333333,0.341650283
0.177333333,0.165333333,0.220475057
0.576333333,0.619833333,0.807618414
0.807766667,0.796647619,0.829602112
0.932,0.956,0.880347562
0.928,0.884,0.908747889
0.777933333,0.7042,0.76873911
0.772,0.890666667,0.864436246
0.0668,0.0565,0.148474749
0.838,0.693133333,0.825771378
0.922,0.970666667,0.854200851
0.696,0.779,0.629330079
0.537333333,0.389833333,0.351301675
0.612833333,0.692222222,0.804693269
0.5765,0.714488889,0.232256576
0.573818182,0.5706,0.758984827
0.134181818,0.046901243,0.143556991
0.614,0.684,0.681628114
0.04,0.011545455,0.095987418
0.11,0.034,0.153384474
0.846,0.992,0.852030107
0.29,0.302,0.166651853
0.666333333,0.777785714,0.831367497
0.95,0.974,0.87805335
0.8561,0.918714286,0.866556462
0.211,0.153,0.145250889
0.872666667,0.848,0.847014965
0.978666667,0.986,0.863561867
0.01,0.002,0.098869462
0.949,0.981,0.874201353
0.51,0.5362,0.603320627
0.855,0.865866667,0.873116195
0.12955,0.051716667,0.160176364
0.770333333,0.787714286,0.84458775
0.2685,0.3578,0.238559716
0.558,0.64,0.80844058
0.7,0.865416667,0.844448578
0.3492,0.416333333,0.50736414
0.3465,0.3425,0.262664985
0.07,0.056,0.143252948
0.908,0.915,0.872129661
0.073,0.014,0.154800272
0.0825,0.024,0.177161601
0.762,0.833333333,0.788414929
0.556,0.844,0.613111458
0.484,0.369666667,0.512119904
0.888,0.922333333,0.756944177
0.86,0.862,0.778184775
0.59925,0.6185,0.679220804
0.7,0.6965,0.689569742
0.574166667,0.504133333,0.784795426
0.856,0.86,0.835149163
0.028,0.002,0.114302989
0.9105,0.922333333,0.872732378
0.452,0.407,0.322287164
0.9055,0.886666667,0.8985017
0.71,0.727,0.834666486
0.799,0.931517857,0.685387454
0.334,0.224,0.234827037
0.3385,0.309,0.203230777
0.992,0.995,0.900856844
0.688,0.635,0.244915252
0.57,0.672,0.565890072
0.176,0.234,0.155164922
0.289333333,0.137222222,0.400828179
0.087,0.079,0.095159112
0.076,0.034,0.207749896
0.524,0.573666667,0.679201807
0.884,0.851266667,0.771184093
0.792,0.841,0.778923646
0.8924,0.922,0.864550739
0.386342857,0.439340476,0.187399331
0.787597669,0.798019681,0.784844323
0.761833333,0.726833333,0.767378928
0.799333333,0.654,0.796476888
0.833,0.89,0.835456692
0.268345455,0.208688889,0.175738238
0.138,0.154666667,0.107167179
0.671,0.647,0.745478304
0.604666667,0.645,0.719663251
0.32,0.32,0.251327958
0.69,0.759,0.870662357
0.848,0.926,0.821116472
0.217384314,0.241133333,0.149820748
0.599,0.632,0.868459146
0.1872,0.1535,0.144396453
0.231928571,0.193666667,0.137005893
0.568,0.4419,0.842289416
0.312,0.389666667,0.235393654
0.402,0.161571429,0.788522515
0.953333333,0.971,0.875338162
0.411,0.494,0.453857491
0.881,0.904,0.8519861
0.078,0.026,0.20114726
0.314,0.392,0.225162333
0.675733333,0.802666667,0.557857743
0.369733333,0.325813853,0.687339351
0.9758,0.999214286,0.863212803
0.816,0.814902503,0.858911303
0.35,0.283,0.252617317
0.928,0.996,0.831124022
0.0952,0.027566667,0.162439698
0.414,0.382,0.172935488
0.634528571,0.662466667,0.52832513
0.104,0.057,0.15246093
0.389,0.198142857,0.800418245
0.775,0.688,0.780514571
0.432,0.4585,0.35997588
0.2532,0.098,0.238680378
0.249,0.298,0.200122513
0.972333333,0.98062037,0.84353273
0.698657143,0.863710462,0.678065517
0.968,0.976,0.903199494
0.378,0.297555556,0.285448245
0.8368,0.871166667,0.819545045
0.153380952,0.076333333,0.185228422
0.491666667,0.530166667,0.562110976
0.89,0.944,0.842417786
0.0848,0.043,0.119027422
0.2496,0.248,0.264133298
0.795833333,0.664736508,0.801316601
0.782666667,0.807666667,0.754614487
0.746,0.825333333,0.884999235
0.348166667,0.324333333,0.312583737
0.218666667,0.094,0.273332794
0.341,0.282,0.320630522
0.720666667,0.543666667,0.849053525
0.570166667,0.549733333,0.793317868
0.778,0.871333333,0.695422333
0.792,0.779666667,0.867115508
0.806,0.954,0.851942072
0.24,0.072454545,0.463230856
0.294,0.25,0.210412121
0.410190476,0.376666667,0.262281746
0.8,0.919,0.768465757
0.3,0.318333333,0.503076432
0.825945238,0.925799367,0.79538173
0.840666667,0.826,0.830228196
0.863666667,0.820422222,0.842400724
0.176,0.126,0.256753846
0.844,0.83,0.829014754
0.4444,0.3985,0.356318637
0.501166667,0.542,0.725654025
0.124,0.085666667,0.151154786
0.564333333,0.504333333,0.801735482
0.9072,0.913,0.861113262
0.4,0.478,0.225355762
0.724,0.784,0.858994724
0.739666667,0.788384615,0.766826027
0.74,0.602133333,0.654795086
0.2358,0.122404401,0.297725774
0.056833333,0.021,0.140807495
0.834,0.873,0.828281096
0.671267857,0.761207971,0.722482895
0.136,0.087,0.125696894
0.436866667,0.296352747,0.700615982
0.686,0.656,0.658276589
0.913,0.978,0.851234434
0.828,0.836,0.884519011
0.522,0.470555556,0.754406928
0.486,0.646666667,0.527933216
0.772,0.895,0.625725718
0.17,0.227466667,0.139116479
0.624,0.74,0.66960562
0.704666667,0.625666667,0.762850794
0.028,0.011,0.118526684
0.254,0.21,0.211326146
0.132,0.0732,0.166326548
0.6041,0.620333333,0.746581135
0.3325,0.2228,0.26552924
0.83,0.952,0.744505449
0.342,0.552,0.356767561
0.735428571,0.75,0.824620129
0.238,0.288,0.221228384
0.6,0.617,0.685033851
0.110755556,0.118752381,0.151467217
0.248858974,0.133365873,0.206269121
0.28,0.249,0.226123692
0.4165,0.350333333,0.478797119
0.4028,0.333333333,0.260838266
0.49,0.395333333,0.255110632
0.227,0.232,0.197721316
0.946,0.957,0.855521832
0.929066667,0.936,0.883944248
0.264,0.2705,0.233773134
0.146,0.087,0.419948798
0.110133333,0.053708333,0.13139083
0.966,0.976,0.88032514
0.312,0.365,0.23508133
0.772,0.852,0.82004598
0.2443,0.231290909,0.243481482
0.522,0.678111111,0.383719266
0.354666667,0.496833333,0.257346599
0.220666667,0.124870707,0.246720246
0.303,0.327666667,0.112996812
0.589966667,0.540650794,0.323053325
0.768357143,0.853711905,0.633663788
0.455984848,0.558933333,0.246129722
0.968,0.996,0.888709554
0.509,0.446,0.308860857
0.3415,0.365902015,0.278593394
0.289,0.102,0.241229668
0.905333333,0.98,0.862478277
0.86,0.953,0.79819703
0.342,0.414,0.22134247
0.777,0.736333333,0.80409101
0.614,0.746,0.749354591
0.362,0.361666667,0.249609879
0.542095238,0.654965079,0.790388625
0.513,0.392,0.793382955
0.205333333,0.182,0.138758916
0.628333333,0.625934783,0.706639953
0.508,0.4695,0.549796422
0.586,0.395066667,0.616904228
